Entity,Code,Year,Wind capacity (total) (GW)
Aruba,ABW,2016,0.030000001
Aruba,ABW,2017,0.030000001
Aruba,ABW,2018,0.030000001
Aruba,ABW,2019,0.030000001
Aruba,ABW,2020,0.030000001
Aruba,ABW,2021,0.030000001
Aruba,ABW,2022,0.030000001
Aruba,ABW,2023,0.030000001
Asia,,2000,1.4100051
Asia,,2001,2.1714122
Asia,,2002,2.394952
Asia,,2003,3.5889602
Asia,,2004,5.4374604
Asia,,2005,6.9485
Asia,,2006,10.623893
Asia,,2007,14.211564
Asia,,2008,21.427574
Asia,,2009,32.205235
Asia,,2010,47.511948
Asia,,2011,67.86741
Asia,,2012,85.19065
Asia,,2013,102.42974
Asia,,2014,128.13693
Asia,,2015,166.60506
Asia,,2016,190.3431
Asia,,2017,212.0657
Asia,,2018,236.81204
Asia,,2019,266.13647
Asia,,2020,341.7977
Asia,,2021,396.49313
Asia,,2022,439.38123
Asia,,2023,522.11017
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076000005
Australia,AUS,2002,0.106000006
Australia,AUS,2003,0.19000001
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.81900007
Australia,AUS,2007,1.2490001
Australia,AUS,2008,1.4410001
Australia,AUS,2009,1.7030001
Australia,AUS,2010,1.8640001
Australia,AUS,2011,2.127
Australia,AUS,2012,2.561
Australia,AUS,2013,3.2210002
Australia,AUS,2014,3.7970002
Australia,AUS,2015,4.181
Australia,AUS,2016,4.3240004
Australia,AUS,2017,5.407
Australia,AUS,2018,6.4090004
Australia,AUS,2019,7.8810005
Australia,AUS,2020,10.207001
Australia,AUS,2021,10.555
Australia,AUS,2022,10.555
Australia,AUS,2023,11.327001
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109000005
Austria,AUT,2003,0.32200003
Austria,AUT,2004,0.58100003
Austria,AUT,2005,0.82521904
Austria,AUT,2006,0.96826905
Austria,AUT,2007,0.991159
Austria,AUT,2008,0.99197406
Austria,AUT,2009,1.000985
Austria,AUT,2010,1.015828
Austria,AUT,2011,1.105966
Austria,AUT,2012,1.3371501
Austria,AUT,2013,1.674538
Austria,AUT,2014,2.110275
Austria,AUT,2015,2.4887261
Austria,AUT,2016,2.7299962
Austria,AUT,2017,2.8866982
Austria,AUT,2018,3.132713
Austria,AUT,2019,3.224117
Austria,AUT,2020,3.225979
Austria,AUT,2021,3.4078112
Austria,AUT,2022,3.5792363
Austria,AUT,2023,3.9772363
Azerbaijan,AZE,2009,0.002
Azerbaijan,AZE,2010,0.002
Azerbaijan,AZE,2011,0.002
Azerbaijan,AZE,2012,0.002
Azerbaijan,AZE,2013,0.0027
Azerbaijan,AZE,2014,0.0027
Azerbaijan,AZE,2015,0.008
Azerbaijan,AZE,2016,0.015700001
Azerbaijan,AZE,2017,0.015700001
Azerbaijan,AZE,2018,0.066
Azerbaijan,AZE,2019,0.066
Azerbaijan,AZE,2020,0.066
Azerbaijan,AZE,2021,0.066
Azerbaijan,AZE,2022,0.064
Azerbaijan,AZE,2023,0.0665
Bahamas,BHS,2011,0.0003
Bahamas,BHS,2012,0.0003
Bahamas,BHS,2013,0.0003
Bahamas,BHS,2014,0.0003
Bahamas,BHS,2015,0.0003
Bahamas,BHS,2016,0.0003
Bahamas,BHS,2017,0.0003
Bahamas,BHS,2018,0.0003
Bahamas,BHS,2019,0.0003
Bahamas,BHS,2020,0.0003
Bahamas,BHS,2021,0.0003
Bahamas,BHS,2022,0.0003
Bahamas,BHS,2023,0.0003
Bahrain,BHR,2008,0.000675
Bahrain,BHR,2009,0.000675
Bahrain,BHR,2010,0.000675
Bahrain,BHR,2011,0.000675
Bahrain,BHR,2012,0.000675
Bahrain,BHR,2013,0.000675
Bahrain,BHR,2014,0.000675
Bahrain,BHR,2015,0.000675
Bahrain,BHR,2016,0.000675
Bahrain,BHR,2017,0.000675
Bahrain,BHR,2018,0.000675
Bahrain,BHR,2019,0.000675
Bahrain,BHR,2020,0.000675
Bahrain,BHR,2021,0.000675
Bahrain,BHR,2022,0.002675
Bahrain,BHR,2023,0.002675
Bangladesh,BGD,2006,0.00090000004
Bangladesh,BGD,2007,0.00090000004
Bangladesh,BGD,2008,0.0019
Bangladesh,BGD,2009,0.0019
Bangladesh,BGD,2010,0.0019
Bangladesh,BGD,2011,0.0019
Bangladesh,BGD,2012,0.0019
Bangladesh,BGD,2013,0.0019
Bangladesh,BGD,2014,0.0019
Bangladesh,BGD,2015,0.0029000002
Bangladesh,BGD,2016,0.0029000002
Bangladesh,BGD,2017,0.0029000002
Bangladesh,BGD,2018,0.0029000002
Bangladesh,BGD,2019,0.0029000002
Bangladesh,BGD,2020,0.0029000002
Bangladesh,BGD,2021,0.0029000002
Bangladesh,BGD,2022,0.0029000002
Bangladesh,BGD,2023,0.0029000002
Barbados,BRB,2000,0.000040000003
Barbados,BRB,2001,0.000040000003
Barbados,BRB,2002,0.000040000003
Barbados,BRB,2003,0.000040000003
Barbados,BRB,2004,0.000040000003
Barbados,BRB,2005,0.000040000003
Barbados,BRB,2006,0.000040000003
Barbados,BRB,2007,0.000040000003
Barbados,BRB,2008,0.000040000003
Barbados,BRB,2009,0.000040000003
Barbados,BRB,2010,0.000040000003
Barbados,BRB,2011,0.000040000003
Barbados,BRB,2012,0.000040000003
Barbados,BRB,2013,0.000040000003
Barbados,BRB,2014,0.000040000003
Barbados,BRB,2015,0.000040000003
Barbados,BRB,2016,0.000060000002
Barbados,BRB,2017,0.000060000002
Barbados,BRB,2018,0.000060000002
Barbados,BRB,2019,0.000060000002
Barbados,BRB,2020,0.000060000002
Barbados,BRB,2021,0.000060000002
Barbados,BRB,2022,0.00116
Barbados,BRB,2023,0.00116
Belarus,BLR,2000,0.00025
Belarus,BLR,2001,0.0006
Belarus,BLR,2002,0.0011000001
Belarus,BLR,2003,0.0011000001
Belarus,BLR,2004,0.0011000001
Belarus,BLR,2005,0.0011000001
Belarus,BLR,2006,0.0011000001
Belarus,BLR,2007,0.0019
Belarus,BLR,2008,0.0019
Belarus,BLR,2009,0.0019
Belarus,BLR,2010,0.0019
Belarus,BLR,2011,0.002
Belarus,BLR,2012,0.0050000004
Belarus,BLR,2013,0.007
Belarus,BLR,2014,0.009000001
Belarus,BLR,2015,0.022000002
Belarus,BLR,2016,0.062000003
Belarus,BLR,2017,0.08400001
Belarus,BLR,2018,0.09200001
Belarus,BLR,2019,0.112
Belarus,BLR,2020,0.112
Belarus,BLR,2021,0.111700006
Belarus,BLR,2022,0.120000005
Belarus,BLR,2023,0.12200001
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026
Belgium,BEL,2002,0.031000001
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.16700001
Belgium,BEL,2006,0.21200001
Belgium,BEL,2007,0.27600002
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.60800004
Belgium,BEL,2010,0.91200006
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.3669001
Belgium,BEL,2013,1.769
Belgium,BEL,2014,1.9327
Belgium,BEL,2015,2.1813002
Belgium,BEL,2016,2.3338
Belgium,BEL,2017,2.7794
Belgium,BEL,2018,3.3049002
Belgium,BEL,2019,3.8635
Belgium,BEL,2020,4.6727004
Belgium,BEL,2021,4.9484005
Belgium,BEL,2022,5.3034005
Belgium,BEL,2023,5.50355
Belize,BLZ,2000,0.000020000001
Belize,BLZ,2001,0.000020000001
Belize,BLZ,2002,0.000020000001
Belize,BLZ,2003,0.000020000001
Belize,BLZ,2004,0.000020000001
Belize,BLZ,2005,0.000020000001
Belize,BLZ,2006,0.000020000001
Belize,BLZ,2007,0.000020000001
Belize,BLZ,2008,0.000020000001
Belize,BLZ,2009,0.000020000001
Belize,BLZ,2010,0.000020000001
Belize,BLZ,2011,0.000020000001
Belize,BLZ,2012,0.000020000001
Belize,BLZ,2013,0.000020000001
Belize,BLZ,2014,0.000020000001
Belize,BLZ,2015,0.000020000001
Belize,BLZ,2016,0.000020000001
Belize,BLZ,2017,0.000020000001
Belize,BLZ,2018,0.000020000001
Belize,BLZ,2019,0.000020000001
Belize,BLZ,2020,0.000020000001
Belize,BLZ,2021,0.000020000001
Belize,BLZ,2022,0.000020000001
Belize,BLZ,2023,0.000020000001
Bhutan,BTN,2015,0.0006
Bhutan,BTN,2016,0.0006
Bhutan,BTN,2017,0.0006
Bhutan,BTN,2018,0.0006
Bhutan,BTN,2019,0.0006
Bhutan,BTN,2020,0.0006
Bhutan,BTN,2021,0.0006
Bhutan,BTN,2022,0.0006
Bhutan,BTN,2023,0.0006
Bolivia,BOL,2010,0.000100000005
Bolivia,BOL,2011,0.000100000005
Bolivia,BOL,2012,0.000100000005
Bolivia,BOL,2014,0.003
Bolivia,BOL,2015,0.003
Bolivia,BOL,2016,0.027
Bolivia,BOL,2017,0.027
Bolivia,BOL,2018,0.027
Bolivia,BOL,2019,0.027
Bolivia,BOL,2020,0.027
Bolivia,BOL,2021,0.1278
Bolivia,BOL,2022,0.1278
Bolivia,BOL,2023,0.135
Bonaire Sint Eustatius and Saba,BES,2007,0.00033000004
Bonaire Sint Eustatius and Saba,BES,2008,0.00033000004
Bonaire Sint Eustatius and Saba,BES,2009,0.01023
Bonaire Sint Eustatius and Saba,BES,2010,0.01023
Bonaire Sint Eustatius and Saba,BES,2011,0.01023
Bonaire Sint Eustatius and Saba,BES,2012,0.01023
Bonaire Sint Eustatius and Saba,BES,2013,0.01113
Bonaire Sint Eustatius and Saba,BES,2014,0.01113
Bonaire Sint Eustatius and Saba,BES,2015,0.01113
Bonaire Sint Eustatius and Saba,BES,2016,0.01113
Bonaire Sint Eustatius and Saba,BES,2017,0.01113
Bonaire Sint Eustatius and Saba,BES,2018,0.01113
Bonaire Sint Eustatius and Saba,BES,2019,0.01113
Bonaire Sint Eustatius and Saba,BES,2020,0.01113
Bonaire Sint Eustatius and Saba,BES,2021,0.01113
Bonaire Sint Eustatius and Saba,BES,2022,0.01113
Bonaire Sint Eustatius and Saba,BES,2023,0.01113
Bosnia and Herzegovina,BIH,2011,0.0003
Bosnia and Herzegovina,BIH,2012,0.0003
Bosnia and Herzegovina,BIH,2013,0.0003
Bosnia and Herzegovina,BIH,2014,0.0003
Bosnia and Herzegovina,BIH,2015,0.0003
Bosnia and Herzegovina,BIH,2016,0.0003
Bosnia and Herzegovina,BIH,2017,0.0003
Bosnia and Herzegovina,BIH,2018,0.051000003
Bosnia and Herzegovina,BIH,2019,0.087000005
Bosnia and Herzegovina,BIH,2020,0.087000005
Bosnia and Herzegovina,BIH,2021,0.135
Bosnia and Herzegovina,BIH,2022,0.135
Bosnia and Herzegovina,BIH,2023,0.135
Brazil,BRA,2000,0.022000002
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022000002
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029000001
Brazil,BRA,2006,0.23700002
Brazil,BRA,2007,0.24700001
Brazil,BRA,2008,0.39800003
Brazil,BRA,2009,0.60200006
Brazil,BRA,2010,0.92700005
Brazil,BRA,2011,1.4260001
Brazil,BRA,2012,1.894
Brazil,BRA,2013,2.2020202
Brazil,BRA,2014,4.8880534
Brazil,BRA,2015,7.633112
Brazil,BRA,2016,10.129126
Brazil,BRA,2017,12.304244
Brazil,BRA,2018,14.843078
Brazil,BRA,2019,15.438379
Brazil,BRA,2020,17.19831
Brazil,BRA,2021,21.161346
Brazil,BRA,2022,24.16314
Brazil,BRA,2023,29.135122
British Virgin Islands,VGB,2010,0.0005
British Virgin Islands,VGB,2011,0.0005
British Virgin Islands,VGB,2012,0.0005
British Virgin Islands,VGB,2013,0.0005
British Virgin Islands,VGB,2014,0.0005
British Virgin Islands,VGB,2015,0.0005
British Virgin Islands,VGB,2016,0.0005
British Virgin Islands,VGB,2017,0.0005
British Virgin Islands,VGB,2018,0.0005
British Virgin Islands,VGB,2019,0.00080100005
British Virgin Islands,VGB,2020,0.00080100005
British Virgin Islands,VGB,2021,0.00080100005
British Virgin Islands,VGB,2022,0.00080100005
British Virgin Islands,VGB,2023,0.00080100005
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.030000001
Bulgaria,BGR,2008,0.11400001
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.48800004
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.67700005
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.69900006
Bulgaria,BGR,2015,0.69900006
Bulgaria,BGR,2016,0.69900006
Bulgaria,BGR,2017,0.69839007
Bulgaria,BGR,2018,0.69892
Bulgaria,BGR,2019,0.70312005
Bulgaria,BGR,2020,0.70280004
Bulgaria,BGR,2021,0.704375
Bulgaria,BGR,2022,0.7020851
Bulgaria,BGR,2023,0.7020851
Cambodia,KHM,2009,0.00025
Cambodia,KHM,2010,0.00025
Cambodia,KHM,2011,0.00025
Cambodia,KHM,2012,0.00025
Cambodia,KHM,2013,0.00025
Cambodia,KHM,2014,0.00025
Cambodia,KHM,2015,0.00025
Cambodia,KHM,2016,0.00025
Cambodia,KHM,2017,0.00025
Cambodia,KHM,2018,0.00025
Cambodia,KHM,2019,0.00025
Cambodia,KHM,2020,0.00025
Cambodia,KHM,2021,0.00025
Cambodia,KHM,2022,0.00025
Cambodia,KHM,2023,0.00025
Canada,CAN,2000,0.09200001
Canada,CAN,2001,0.13100001
Canada,CAN,2002,0.16100001
Canada,CAN,2003,0.32700002
Canada,CAN,2004,0.44400004
Canada,CAN,2005,0.67700005
Canada,CAN,2006,1.4230001
Canada,CAN,2007,1.84
Canada,CAN,2008,2.3360002
Canada,CAN,2009,3.282
Canada,CAN,2010,3.9670002
Canada,CAN,2011,5.2650003
Canada,CAN,2012,6.201
Canada,CAN,2013,7.8010006
Canada,CAN,2014,9.694
Canada,CAN,2015,11.214001
Canada,CAN,2016,11.973001
Canada,CAN,2017,12.250001
Canada,CAN,2018,12.816001
Canada,CAN,2019,13.22
Canada,CAN,2020,13.735478
Canada,CAN,2021,14.259079
Canada,CAN,2022,15.264978
Canada,CAN,2023,16.989418
Cape Verde,CPV,2002,0.0021
Cape Verde,CPV,2003,0.0026800002
Cape Verde,CPV,2004,0.0024
Cape Verde,CPV,2005,0.0024
Cape Verde,CPV,2006,0.0021
Cape Verde,CPV,2007,0.0021
Cape Verde,CPV,2008,0.0021
Cape Verde,CPV,2009,0.0021
Cape Verde,CPV,2010,0.0018000001
Cape Verde,CPV,2011,0.017
Cape Verde,CPV,2012,0.027200002
Cape Verde,CPV,2013,0.027200002
Cape Verde,CPV,2014,0.027200002
Cape Verde,CPV,2015,0.027200002
Cape Verde,CPV,2016,0.027200002
Cape Verde,CPV,2017,0.027200002
Cape Verde,CPV,2018,0.0269
Cape Verde,CPV,2019,0.0269
Cape Verde,CPV,2020,0.0269
Cape Verde,CPV,2021,0.0269
Cape Verde,CPV,2022,0.0269
Cape Verde,CPV,2023,0.026800001
Cayman Islands,CYM,2018,0.00080000004
Cayman Islands,CYM,2019,0.00080000004
Cayman Islands,CYM,2020,0.00080000004
Cayman Islands,CYM,2021,0.00080000004
Cayman Islands,CYM,2022,0.00080000004
Cayman Islands,CYM,2023,0.00080000004
Chad,TCD,2016,0.0011000001
Chad,TCD,2017,0.0011000001
Chad,TCD,2018,0.0011000001
Chad,TCD,2019,0.0011000001
Chad,TCD,2020,0.0011000001
Chad,TCD,2021,0.0011000001
Chad,TCD,2022,0.0011000001
Chad,TCD,2023,0.0011000001
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.020000001
Chile,CHL,2008,0.020000001
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.18400002
Chile,CHL,2012,0.202
Chile,CHL,2013,0.29470202
Chile,CHL,2014,0.7319311
Chile,CHL,2015,0.9068981
Chile,CHL,2016,1.034198
Chile,CHL,2017,1.305448
Chile,CHL,2018,1.52383
Chile,CHL,2019,1.620074
Chile,CHL,2020,2.3403962
Chile,CHL,2021,3.1370063
Chile,CHL,2022,3.8296793
Chile,CHL,2023,4.510214
China,CHN,2000,0.34100002
China,CHN,2001,0.38300002
China,CHN,2002,0.44900003
China,CHN,2003,0.54700005
China,CHN,2004,0.763
China,CHN,2005,1.0600001
China,CHN,2006,2.0700002
China,CHN,2007,4.2000003
China,CHN,2008,8.387728
China,CHN,2009,17.59941
China,CHN,2010,29.63348
China,CHN,2011,46.354603
China,CHN,2012,61.596878
China,CHN,2013,76.73054
China,CHN,2014,96.81914
China,CHN,2015,131.04773
China,CHN,2016,148.51689
China,CHN,2017,164.3745
China,CHN,2018,184.6649
China,CHN,2019,209.58191
China,CHN,2020,281.99268
China,CHN,2021,328.97345
China,CHN,2022,365.9642
China,CHN,2023,441.89496
Colombia,COL,2004,0.020000001
Colombia,COL,2005,0.010000001
Colombia,COL,2006,0.018420001
Colombia,COL,2007,0.018420001
Colombia,COL,2008,0.018420001
Colombia,COL,2009,0.018420001
Colombia,COL,2010,0.018420001
Colombia,COL,2011,0.018420001
Colombia,COL,2012,0.018420001
Colombia,COL,2013,0.018420001
Colombia,COL,2014,0.018420001
Colombia,COL,2015,0.018420001
Colombia,COL,2016,0.018420001
Colombia,COL,2017,0.018420001
Colombia,COL,2018,0.018420001
Colombia,COL,2019,0.018420001
Colombia,COL,2020,0.018420001
Colombia,COL,2021,0.018420001
Colombia,COL,2022,0.018420001
Colombia,COL,2023,0.018420001
Cook Islands,COK,2003,0.000040000003
Cook Islands,COK,2004,0.000040000003
Cook Islands,COK,2005,0.000040000003
Cook Islands,COK,2006,0.000040000003
Cook Islands,COK,2007,0.000040000003
Costa Rica,CRI,2000,0.042450003
Costa Rica,CRI,2001,0.062250003
Costa Rica,CRI,2002,0.062250003
Costa Rica,CRI,2003,0.068550006
Costa Rica,CRI,2004,0.068550006
Costa Rica,CRI,2005,0.068550006
Costa Rica,CRI,2006,0.068550006
Costa Rica,CRI,2007,0.06992
Costa Rica,CRI,2008,0.06992
Costa Rica,CRI,2009,0.119625
Costa Rica,CRI,2010,0.119625
Costa Rica,CRI,2011,0.132785
Costa Rica,CRI,2012,0.14808501
Costa Rica,CRI,2013,0.14808501
Costa Rica,CRI,2014,0.196465
Costa Rica,CRI,2015,0.27814502
Costa Rica,CRI,2016,0.319145
Costa Rica,CRI,2017,0.37782502
Costa Rica,CRI,2018,0.407775
Costa Rica,CRI,2019,0.41092002
Costa Rica,CRI,2020,0.39352
Costa Rica,CRI,2021,0.39022002
Costa Rica,CRI,2022,0.39022002
Costa Rica,CRI,2023,0.40762
Croatia,HRV,2004,0.006
Croatia,HRV,2005,0.006
Croatia,HRV,2006,0.017
Croatia,HRV,2007,0.017
Croatia,HRV,2008,0.017
Croatia,HRV,2009,0.07
Croatia,HRV,2010,0.079
Croatia,HRV,2011,0.13000001
Croatia,HRV,2012,0.18
Croatia,HRV,2013,0.254
Croatia,HRV,2014,0.33900002
Croatia,HRV,2015,0.418
Croatia,HRV,2016,0.483
Croatia,HRV,2017,0.5761
Croatia,HRV,2018,0.5863
Croatia,HRV,2019,0.6463
Croatia,HRV,2020,0.80130005
Croatia,HRV,2021,0.9869001
Croatia,HRV,2022,0.9869001
Croatia,HRV,2023,1.1429001
Cuba,CUB,2000,0.0005
Cuba,CUB,2001,0.0005
Cuba,CUB,2002,0.0005
Cuba,CUB,2003,0.0005
Cuba,CUB,2004,0.0005
Cuba,CUB,2005,0.0043000006
Cuba,CUB,2006,0.0043000006
Cuba,CUB,2007,0.00595
Cuba,CUB,2008,0.011050001
Cuba,CUB,2009,0.011050001
Cuba,CUB,2010,0.015550001
Cuba,CUB,2011,0.015550001
Cuba,CUB,2012,0.015550001
Cuba,CUB,2013,0.015550001
Cuba,CUB,2014,0.015550001
Cuba,CUB,2015,0.06555001
Cuba,CUB,2016,0.06555001
Cuba,CUB,2017,0.06555001
Cuba,CUB,2018,0.06555001
Cuba,CUB,2019,0.066
Cuba,CUB,2020,0.066
Cuba,CUB,2021,0.066
Cuba,CUB,2022,0.066
Cuba,CUB,2023,0.066
Curacao,CUW,2000,0.012
Curacao,CUW,2001,0.012
Curacao,CUW,2002,0.012
Curacao,CUW,2003,0.012
Curacao,CUW,2004,0.012
Curacao,CUW,2005,0.012
Curacao,CUW,2006,0.012
Curacao,CUW,2007,0.012
Curacao,CUW,2008,0.012
Curacao,CUW,2009,0.012
Curacao,CUW,2010,0.012
Curacao,CUW,2011,0.012
Curacao,CUW,2012,0.030000001
Curacao,CUW,2013,0.030000001
Curacao,CUW,2014,0.030000001
Curacao,CUW,2015,0.030000001
Curacao,CUW,2016,0.030000001
Curacao,CUW,2017,0.0465
Curacao,CUW,2018,0.0465
Curacao,CUW,2019,0.0465
Curacao,CUW,2020,0.0465
Curacao,CUW,2021,0.0465
Curacao,CUW,2022,0.0465
Curacao,CUW,2023,0.0465
Cyprus,CYP,2004,0.00022500001
Cyprus,CYP,2005,0.00022500001
Cyprus,CYP,2006,0.00022500001
Cyprus,CYP,2007,0.00022500001
Cyprus,CYP,2008,0.00022500001
Cyprus,CYP,2009,0.00022500001
Cyprus,CYP,2010,0.082225
Cyprus,CYP,2011,0.13422501
Cyprus,CYP,2012,0.147225
Cyprus,CYP,2013,0.147225
Cyprus,CYP,2014,0.147225
Cyprus,CYP,2015,0.157725
Cyprus,CYP,2016,0.157725
Cyprus,CYP,2017,0.157725
Cyprus,CYP,2018,0.157725
Cyprus,CYP,2019,0.157725
Cyprus,CYP,2020,0.157725
Cyprus,CYP,2021,0.15750001
Cyprus,CYP,2022,0.15750001
Cyprus,CYP,2023,0.158
Czechia,CZE,2000,0.002
Czechia,CZE,2002,0.0064000003
Czechia,CZE,2003,0.010600001
Czechia,CZE,2004,0.0165
Czechia,CZE,2005,0.022000002
Czechia,CZE,2006,0.043500002
Czechia,CZE,2007,0.11380001
Czechia,CZE,2008,0.15
Czechia,CZE,2009,0.193
Czechia,CZE,2010,0.21300001
Czechia,CZE,2011,0.21300001
Czechia,CZE,2012,0.25800002
Czechia,CZE,2013,0.26200002
Czechia,CZE,2014,0.27800003
Czechia,CZE,2015,0.28100002
Czechia,CZE,2016,0.282
Czechia,CZE,2017,0.308205
Czechia,CZE,2018,0.31620002
Czechia,CZE,2019,0.33941403
Czechia,CZE,2020,0.339424
Czechia,CZE,2021,0.33941403
Czechia,CZE,2022,0.33909503
Czechia,CZE,2023,0.343395
Denmark,DNK,2000,2.3900151
Denmark,DNK,2001,2.497153
Denmark,DNK,2002,2.8945312
Denmark,DNK,2003,3.1199162
Denmark,DNK,2004,3.1237123
Denmark,DNK,2005,3.1278362
Denmark,DNK,2006,3.1356962
Denmark,DNK,2007,3.1242142
Denmark,DNK,2008,3.1628702
Denmark,DNK,2009,3.4820871
Denmark,DNK,2010,3.8018293
Denmark,DNK,2011,3.951981
Denmark,DNK,2012,4.161941
Denmark,DNK,2013,4.818923
Denmark,DNK,2014,4.8864036
Denmark,DNK,2015,5.0769663
Denmark,DNK,2016,5.2451425
Denmark,DNK,2017,5.4889493
Denmark,DNK,2018,6.1226606
Denmark,DNK,2019,6.1105433
Denmark,DNK,2020,6.2585373
Denmark,DNK,2021,7.0039487
Denmark,DNK,2022,7.083819
Denmark,DNK,2023,7.4818187
Djibouti,DJI,2021,0.020000001
Djibouti,DJI,2022,0.020000001
Djibouti,DJI,2023,0.080000006
Dominica,DMA,2008,0.000010000001
Dominica,DMA,2009,0.000010000001
Dominica,DMA,2010,0.00024000002
Dominica,DMA,2011,0.00024000002
Dominica,DMA,2012,0.00024000002
Dominica,DMA,2013,0.00024000002
Dominica,DMA,2014,0.00024000002
Dominica,DMA,2015,0.00024000002
Dominica,DMA,2016,0.00024000002
Dominica,DMA,2017,0.00024000002
Dominica,DMA,2018,0.00024000002
Dominica,DMA,2019,0.00024000002
Dominica,DMA,2020,0.00024000002
Dominica,DMA,2021,0.00024000002
Dominica,DMA,2022,0.00024000002
Dominica,DMA,2023,0.00024000002
Dominican Republic,DOM,2011,0.0335
Dominican Republic,DOM,2012,0.08730001
Dominican Republic,DOM,2013,0.0855
Dominican Republic,DOM,2014,0.079500005
