Entity,Code,Year,Coal (% equivalent primary energy)
Australia,AUS,1968,44.189198
Australia,AUS,1969,43.88694
Australia,AUS,1970,40.640907
Australia,AUS,1971,38.83876
Australia,AUS,1972,38.80091
Australia,AUS,1973,37.795456
Australia,AUS,1974,37.09356
Australia,AUS,1975,37.649067
Australia,AUS,1976,37.617954
Australia,AUS,1977,37.429054
Australia,AUS,1978,37.21072
Australia,AUS,1979,37.50682
Australia,AUS,1980,38.467876
Australia,AUS,1981,38.836704
Australia,AUS,1982,39.613228
Australia,AUS,1983,39.991314
Australia,AUS,1984,40.844734
Australia,AUS,1985,41.07349
Australia,AUS,1986,41.372364
Australia,AUS,1987,41.956814
Australia,AUS,1988,42.16426
Australia,AUS,1989,42.143627
Australia,AUS,1990,42.275326
Australia,AUS,1991,43.41859
Australia,AUS,1992,42.99789
Australia,AUS,1993,42.31564
Australia,AUS,1994,41.603065
Australia,AUS,1995,41.94465
Australia,AUS,1996,42.415848
Australia,AUS,1997,43.49491
Australia,AUS,1998,44.376938
Australia,AUS,1999,45.280323
Australia,AUS,2000,45.329063
Australia,AUS,2001,44.526226
Australia,AUS,2002,44.63382
Australia,AUS,2003,45.266983
Australia,AUS,2004,45.70642
Australia,AUS,2005,45.252754
Australia,AUS,2006,44.566353
Australia,AUS,2007,43.14279
Australia,AUS,2008,44.216965
Australia,AUS,2009,43.381382
Australia,AUS,2010,40.255753
Australia,AUS,2011,37.98674
Australia,AUS,2012,36.095543
Australia,AUS,2013,33.82917
Australia,AUS,2014,33.316456
Australia,AUS,2015,33.7489
Australia,AUS,2016,33.617268
Australia,AUS,2017,32.56188
Australia,AUS,2018,31.316078
Australia,AUS,2019,28.95457
Australia,AUS,2020,29.528294
Australia,AUS,2021,28.472359
Australia,AUS,2022,25.827915
Australia,AUS,2023,25.053648
Austria,AUT,1965,31.19548
Austria,AUT,1966,28.472242
Austria,AUT,1967,26.676964
Austria,AUT,1968,24.632793
Austria,AUT,1969,23.402523
Austria,AUT,1970,21.976917
Austria,AUT,1971,20.243706
Austria,AUT,1972,17.742292
Austria,AUT,1973,16.40073
Austria,AUT,1974,17.218832
Austria,AUT,1975,15.064406
Austria,AUT,1976,15.490193
Austria,AUT,1977,12.96316
Austria,AUT,1978,12.624428
Austria,AUT,1979,12.937271
Austria,AUT,1980,13.349398
Austria,AUT,1981,14.076138
Austria,AUT,1982,13.840877
Austria,AUT,1983,14.860747
Austria,AUT,1984,17.106472
Austria,AUT,1985,16.090593
Austria,AUT,1986,14.3165455
Austria,AUT,1987,13.454157
Austria,AUT,1988,13.074711
Austria,AUT,1989,13.060638
Austria,AUT,1990,14.271074
Austria,AUT,1991,14.302132
Austria,AUT,1992,11.276867
Austria,AUT,1993,9.91906
Austria,AUT,1994,10.147002
Austria,AUT,1995,10.971681
Austria,AUT,1996,10.782616
Austria,AUT,1997,11.290468
Austria,AUT,1998,9.718544
Austria,AUT,1999,9.593845
Austria,AUT,2000,10.747273
Austria,AUT,2001,10.791859
Austria,AUT,2002,10.957873
Austria,AUT,2003,11.662318
Austria,AUT,2004,11.025087
Austria,AUT,2005,10.83355
Austria,AUT,2006,10.960012
Austria,AUT,2007,10.723308
Austria,AUT,2008,10.48732
Austria,AUT,2009,8.165697
Austria,AUT,2010,9.332911
Austria,AUT,2011,10.208199
Austria,AUT,2012,9.078376
Austria,AUT,2013,9.281068
Austria,AUT,2014,8.86866
Austria,AUT,2015,9.586441
Austria,AUT,2016,8.6531515
Austria,AUT,2017,8.7565365
Austria,AUT,2018,7.9051895
Austria,AUT,2019,7.931734
Austria,AUT,2020,7.2553506
Austria,AUT,2021,7.4284153
Austria,AUT,2022,7.5409403
Austria,AUT,2023,6.948082
Azerbaijan,AZE,1985,0.45539805
Azerbaijan,AZE,1986,0.42318603
Azerbaijan,AZE,1987,0.43667778
Azerbaijan,AZE,1988,0.4363545
Azerbaijan,AZE,1989,0.42789528
Azerbaijan,AZE,1990,0.39726162
Azerbaijan,AZE,1991,0.3112467
Azerbaijan,AZE,1992,0.065095164
Azerbaijan,AZE,1993,0.018760059
Azerbaijan,AZE,1994,0.027226223
Azerbaijan,AZE,1995,0.021718292
Azerbaijan,AZE,1996,0.026483843
Azerbaijan,AZE,1997,0.027656535
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0.027423322
Azerbaijan,AZE,2002,0.018517837
Azerbaijan,AZE,2003,0.025647776
Azerbaijan,AZE,2004,0.0069524073
Azerbaijan,AZE,2005,0.022446172
Azerbaijan,AZE,2006,0.022821775
Azerbaijan,AZE,2007,0.03864993
Azerbaijan,AZE,2008,0.029989602
Azerbaijan,AZE,2009,0.037792955
Azerbaijan,AZE,2010,0.037696127
Azerbaijan,AZE,2011,0.02899013
Azerbaijan,AZE,2012,0.028667822
Azerbaijan,AZE,2013,0.024911636
Azerbaijan,AZE,2014,0.0151571715
Azerbaijan,AZE,2015,0.020126935
Azerbaijan,AZE,2016,0.00812806
Azerbaijan,AZE,2017,0.0069047646
Azerbaijan,AZE,2018,0.00479344
Azerbaijan,AZE,2019,0.0041392324
Azerbaijan,AZE,2020,0.0024934562
Azerbaijan,AZE,2021,0.00078742584
Azerbaijan,AZE,2022,0.00036986617
Azerbaijan,AZE,2023,0.00034135714
Bangladesh,BGD,1971,8.107701
Bangladesh,BGD,1972,7.155651
Bangladesh,BGD,1973,7.250984
Bangladesh,BGD,1974,6.0519123
Bangladesh,BGD,1975,6.812546
Bangladesh,BGD,1976,5.767716
Bangladesh,BGD,1977,5.8954616
Bangladesh,BGD,1978,5.377426
Bangladesh,BGD,1979,3.6287527
Bangladesh,BGD,1980,4.1562986
Bangladesh,BGD,1981,4.030378
Bangladesh,BGD,1982,4.4257207
Bangladesh,BGD,1983,2.5329204
Bangladesh,BGD,1984,0.9377615
Bangladesh,BGD,1985,1.18003
Bangladesh,BGD,1986,1.6375152
Bangladesh,BGD,1987,2.3357458
Bangladesh,BGD,1988,2.1603334
Bangladesh,BGD,1989,2.087492
Bangladesh,BGD,1990,4.4310155
Bangladesh,BGD,1991,1.4684024
Bangladesh,BGD,1992,1.2641306
Bangladesh,BGD,1993,0.42863265
Bangladesh,BGD,1994,0.3781637
Bangladesh,BGD,1995,3.484126
Bangladesh,BGD,1996,1.8235793
Bangladesh,BGD,1997,3.1852014
Bangladesh,BGD,1998,0.8610851
Bangladesh,BGD,1999,0.42112768
Bangladesh,BGD,2000,2.8184035
Bangladesh,BGD,2001,2.6152527
Bangladesh,BGD,2002,2.7234018
Bangladesh,BGD,2003,2.4637587
Bangladesh,BGD,2004,2.3202386
Bangladesh,BGD,2005,4.3906236
Bangladesh,BGD,2006,6.164984
Bangladesh,BGD,2007,4.8925123
Bangladesh,BGD,2008,4.891074
Bangladesh,BGD,2009,5.5512285
Bangladesh,BGD,2010,3.4563622
Bangladesh,BGD,2011,4.75675
Bangladesh,BGD,2012,3.6131613
Bangladesh,BGD,2013,4.8164077
Bangladesh,BGD,2014,2.936705
Bangladesh,BGD,2015,7.9562554
Bangladesh,BGD,2016,5.9579773
Bangladesh,BGD,2017,6.235038
Bangladesh,BGD,2018,6.640808
Bangladesh,BGD,2019,9.962419
Bangladesh,BGD,2020,11.447144
Bangladesh,BGD,2021,8.593146
Bangladesh,BGD,2022,10.694851
Bangladesh,BGD,2023,15.396711
Belarus,BLR,1985,6.154336
Belarus,BLR,1986,5.8973002
Belarus,BLR,1987,5.6515975
Belarus,BLR,1988,5.969138
Belarus,BLR,1989,6.0587993
Belarus,BLR,1990,5.3029313
Belarus,BLR,1991,5.049009
Belarus,BLR,1992,4.8492913
Belarus,BLR,1993,4.9805546
Belarus,BLR,1994,4.174305
Belarus,BLR,1995,4.4154935
Belarus,BLR,1996,5.2246494
Belarus,BLR,1997,5.4429336
Belarus,BLR,1998,4.939562
Belarus,BLR,1999,4.7112656
Belarus,BLR,2000,4.5379486
Belarus,BLR,2001,3.3514075
Belarus,BLR,2002,3.0558197
Belarus,BLR,2003,2.897945
Belarus,BLR,2004,2.5351193
Belarus,BLR,2005,2.8087595
Belarus,BLR,2006,2.364915
Belarus,BLR,2007,2.7415986
Belarus,BLR,2008,2.5225372
Belarus,BLR,2009,2.5403137
Belarus,BLR,2010,2.45177
Belarus,BLR,2011,2.9993637
Belarus,BLR,2012,2.8285134
Belarus,BLR,2013,3.3188686
Belarus,BLR,2014,3.2850728
Belarus,BLR,2015,3.2266173
Belarus,BLR,2016,3.4706988
Belarus,BLR,2017,3.524497
Belarus,BLR,2018,4.7812376
Belarus,BLR,2019,5.0091906
Belarus,BLR,2020,3.397138
Belarus,BLR,2021,3.2338586
Belarus,BLR,2022,3.6961782
Belarus,BLR,2023,3.8026295
Belgium,BEL,1965,53.98763
Belgium,BEL,1966,51.116352
Belgium,BEL,1967,47.789993
Belgium,BEL,1968,44.275173
Belgium,BEL,1969,39.291355
Belgium,BEL,1970,35.05145
Belgium,BEL,1971,29.587528
Belgium,BEL,1972,26.581606
Belgium,BEL,1973,22.009836
Belgium,BEL,1974,24.377575
Belgium,BEL,1975,19.358154
Belgium,BEL,1976,19.015228
Belgium,BEL,1977,19.250782
Belgium,BEL,1978,18.886612
Belgium,BEL,1979,20.451654
Belgium,BEL,1980,21.53562
Belgium,BEL,1981,23.461494
Belgium,BEL,1982,24.566988
Belgium,BEL,1983,21.63262
Belgium,BEL,1984,24.004622
Belgium,BEL,1985,22.930557
Belgium,BEL,1986,18.961178
Belgium,BEL,1987,18.316376
Belgium,BEL,1988,18.147707
Belgium,BEL,1989,18.927029
Belgium,BEL,1990,19.897192
Belgium,BEL,1991,18.395514
Belgium,BEL,1992,16.49863
Belgium,BEL,1993,15.884243
Belgium,BEL,1994,16.232018
Belgium,BEL,1995,15.314144
Belgium,BEL,1996,13.798885
Belgium,BEL,1997,12.750189
Belgium,BEL,1998,12.439284
Belgium,BEL,1999,10.977563
Belgium,BEL,2000,11.930292
Belgium,BEL,2001,11.464129
Belgium,BEL,2002,9.873066
Belgium,BEL,2003,9.196522
Belgium,BEL,2004,8.521136
Belgium,BEL,2005,7.9175158
Belgium,BEL,2006,7.7912874
Belgium,BEL,2007,7.0712404
Belgium,BEL,2008,6.872982
Belgium,BEL,2009,4.797816
Belgium,BEL,2010,5.7014885
Belgium,BEL,2011,5.7524395
Belgium,BEL,2012,5.644811
Belgium,BEL,2013,5.8278723
Belgium,BEL,2014,6.095328
Belgium,BEL,2015,5.8925796
Belgium,BEL,2016,5.189455
Belgium,BEL,2017,5.037312
Belgium,BEL,2018,5.022664
Belgium,BEL,2019,4.8699965
Belgium,BEL,2020,4.206403
Belgium,BEL,2021,4.1837893
Belgium,BEL,2022,4.6367
Belgium,BEL,2023,4.266643
Brazil,BRA,1965,7.367757
Brazil,BRA,1966,7.3178897
Brazil,BRA,1967,7.2992945
Brazil,BRA,1968,6.2906475
Brazil,BRA,1969,6.4327755
Brazil,BRA,1970,6.252107
Brazil,BRA,1971,5.647449
Brazil,BRA,1972,5.2056866
Brazil,BRA,1973,4.3433785
Brazil,BRA,1974,4.134215
Brazil,BRA,1975,4.6571074
Brazil,BRA,1976,4.539338
Brazil,BRA,1977,5.398318
Brazil,BRA,1978,5.6123996
Brazil,BRA,1979,5.586435
Brazil,BRA,1980,5.9529486
Brazil,BRA,1981,5.942972
Brazil,BRA,1982,5.9749246
Brazil,BRA,1983,6.643176
Brazil,BRA,1984,7.7042603
Brazil,BRA,1985,8.496903
Brazil,BRA,1986,8.155127
Brazil,BRA,1987,8.30928
Brazil,BRA,1988,8.23738
Brazil,BRA,1989,7.9485326
Brazil,BRA,1990,7.127802
Brazil,BRA,1991,7.915625
Brazil,BRA,1992,7.575158
Brazil,BRA,1993,7.4589567
Brazil,BRA,1994,7.3008404
Brazil,BRA,1995,7.2004566
Brazil,BRA,1996,7.01702
Brazil,BRA,1997,6.63978
Brazil,BRA,1998,6.282257
Brazil,BRA,1999,6.28966
Brazil,BRA,2000,6.4147906
Brazil,BRA,2001,6.475143
Brazil,BRA,2002,6.1277623
Brazil,BRA,2003,6.239765
Brazil,BRA,2004,6.2386847
Brazil,BRA,2005,5.8641844
Brazil,BRA,2006,5.6271906
Brazil,BRA,2007,5.602501
Brazil,BRA,2008,5.4480996
Brazil,BRA,2009,4.4270425
Brazil,BRA,2010,5.280869
Brazil,BRA,2011,5.451592
Brazil,BRA,2012,5.2412415
Brazil,BRA,2013,5.5166993
Brazil,BRA,2014,5.7167716
Brazil,BRA,2015,5.8283625
Brazil,BRA,2016,5.394543
Brazil,BRA,2017,5.6389
Brazil,BRA,2018,5.494253
Brazil,BRA,2019,5.0810895
Brazil,BRA,2020,4.8059845
Brazil,BRA,2021,5.542616
Brazil,BRA,2022,4.358334
Brazil,BRA,2023,4.1283216
Bulgaria,BGR,1965,58.14726
Bulgaria,BGR,1966,55.931282
Bulgaria,BGR,1967,52.28572
Bulgaria,BGR,1968,50.814926
Bulgaria,BGR,1969,45.83428
Bulgaria,BGR,1970,44.557182
Bulgaria,BGR,1971,42.23669
Bulgaria,BGR,1972,42.30632
Bulgaria,BGR,1973,41.031456
Bulgaria,BGR,1974,39.163883
Bulgaria,BGR,1975,37.145824
Bulgaria,BGR,1976,32.691856
Bulgaria,BGR,1977,30.896658
Bulgaria,BGR,1978,31.8152
Bulgaria,BGR,1979,31.606188
Bulgaria,BGR,1980,31.40175
Bulgaria,BGR,1981,32.363876
Bulgaria,BGR,1982,33.189793
Bulgaria,BGR,1983,32.84
Bulgaria,BGR,1984,33.082836
Bulgaria,BGR,1985,34.79209
Bulgaria,BGR,1986,35.059113
Bulgaria,BGR,1987,34.759556
Bulgaria,BGR,1988,31.644022
Bulgaria,BGR,1989,32.580338
Bulgaria,BGR,1990,29.610205
Bulgaria,BGR,1991,32.697033
Bulgaria,BGR,1992,36.540813
Bulgaria,BGR,1993,36.877586
Bulgaria,BGR,1994,35.099434
Bulgaria,BGR,1995,32.64223
Bulgaria,BGR,1996,32.593307
Bulgaria,BGR,1997,39.29895
Bulgaria,BGR,1998,38.926025
Bulgaria,BGR,1999,36.47912
Bulgaria,BGR,2000,33.671276
Bulgaria,BGR,2001,37.150715
Bulgaria,BGR,2002,35.269184
Bulgaria,BGR,2003,38.170563
Bulgaria,BGR,2004,37.719456
Bulgaria,BGR,2005,34.102016
Bulgaria,BGR,2006,33.96321
Bulgaria,BGR,2007,39.53304
Bulgaria,BGR,2008,38.078106
Bulgaria,BGR,2009,36.512123
Bulgaria,BGR,2010,37.852444
Bulgaria,BGR,2011,41.91521
Bulgaria,BGR,2012,37.68385
Bulgaria,BGR,2013,34.892826
Bulgaria,BGR,2014,34.909733
Bulgaria,BGR,2015,33.931095
Bulgaria,BGR,2016,31.07429
Bulgaria,BGR,2017,32.54292
Bulgaria,BGR,2018,28.994263
Bulgaria,BGR,2019,27.96369
Bulgaria,BGR,2020,24.74357
Bulgaria,BGR,2021,27.475231
Bulgaria,BGR,2022,31.68414
Bulgaria,BGR,2023,22.367754
CIS (EI),,1965,50.010853
CIS (EI),,1966,48.737267
CIS (EI),,1967,47.092567
CIS (EI),,1968,44.998356
CIS (EI),,1969,43.826286
CIS (EI),,1970,41.20804
CIS (EI),,1971,40.07426
CIS (EI),,1972,39.156048
CIS (EI),,1973,37.689407
CIS (EI),,1974,35.88978
CIS (EI),,1975,35.1754
CIS (EI),,1976,33.818527
CIS (EI),,1977,32.947678
CIS (EI),,1978,31.388998
CIS (EI),,1979,30.773613
CIS (EI),,1980,29.18227
CIS (EI),,1981,28.39214
CIS (EI),,1982,28.126816
CIS (EI),,1983,27.616713
CIS (EI),,1984,26.359821
CIS (EI),,1985,23.817795
CIS (EI),,1986,24.056362
CIS (EI),,1987,23.75601
CIS (EI),,1988,23.109186
CIS (EI),,1989,22.288223
CIS (EI),,1990,20.957024
CIS (EI),,1991,19.781164
CIS (EI),,1992,19.517221
CIS (EI),,1993,19.004599
CIS (EI),,1994,18.638723
CIS (EI),,1995,18.308136
CIS (EI),,1996,18.304407
CIS (EI),,1997,17.676935
CIS (EI),,1998,16.743385
CIS (EI),,1999,16.457037
CIS (EI),,2000,16.562569
