DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2017,0.195,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2018,0.1966,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2019,0.2034,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2020,0.2111,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2021,0.2216,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2022,0.2249,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2023,0.2653,e,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Austria,2024,0.2731,e,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2013,0.0803,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2014,0.0791,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2015,0.0812,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2016,0.0831,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2017,0.0859,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2018,0.0864,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2019,0.0873,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2020,0.0870,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2021,0.0875,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2022,0.0887,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2023,0.0874,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bosnia and Herzegovina,2024,0.0853,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2013,0.2173,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2014,0.2097,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2015,0.2126,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2016,0.2544,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2017,0.2857,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2018,0.2824,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2019,0.2839,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2020,0.2792,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2021,0.2702,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2022,0.3437,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2023,0.4350,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Belgium,2024,0.3354,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2013,0.0924,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2014,0.0832,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2015,0.0942,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2016,0.0956,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2017,0.0955,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2018,0.0979,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2019,0.0997,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2020,0.0997,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2021,0.1024,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2022,0.1093,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2023,0.1138,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Bulgaria,2024,0.1187,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2013,0.276,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2014,0.2291,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2015,0.1957,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2016,0.1527,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2017,0.1863,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2018,0.1893,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2019,0.2203,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2020,0.2133,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2021,0.1976,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2022,0.2607,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2023,0.3739,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Cyprus,2024,0.3241,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2013,0.1681,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2014,0.1388,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2015,0.1385,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2016,0.142,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2017,0.1438,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2018,0.1573,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2019,0.1748,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2020,0.1841,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2021,0.1802,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2022,0.2445,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2023,0.3190,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Czechia,2024,0.3381,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2013,0.2919,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2014,0.2981,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2015,0.2951,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2016,0.2969,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2017,0.3048,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2018,0.2987,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2019,0.3088,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2020,0.3043,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2021,0.3193,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2022,0.3279,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2023,0.4125,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Germany,2024,0.3951,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2013,0.3,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2014,0.3042,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2015,0.3068,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2016,0.3088,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2017,0.3049,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2018,0.3126,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2019,0.2984,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2020,0.2833,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2021,0.2900,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2022,0.4559,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2023,0.3811,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Denmark,2024,0.3708,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2013,0.1351,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2014,0.1307,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2015,0.1302,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2016,0.1208,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2017,0.1207,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2018,0.1348,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2019,0.1357,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2020,0.1236,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2021,0.1324,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2022,0.2056,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2023,0.2160,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Estonia,2024,0.2300,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2013,0.1563,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2014,0.1767,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2015,0.1767,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2016,0.1716,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2017,0.1711,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2018,0.1672,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2019,0.1595,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2020,0.1674,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2021,0.1680,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2022,0.2101,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2023,0.2327,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Greece,2024,0.2173,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2013,0.2228,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2014,0.2165,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2015,0.2309,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2016,0.2185,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2017,0.2296,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2018,0.2383,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2019,0.2403,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2020,0.2239,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2021,0.2323,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2022,0.3071,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2023,0.2454,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Spain,2024,0.2436,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2013,0.2042,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2014,0.2058,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2015,0.2083,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2016,0.2051,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2017,0.2086,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2018,0.2100,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2019,0.2168,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2020,0.2131,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2021,0.2203,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2022,0.2525,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2023,0.2937,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,European Union - 27 countries (from 2020),2024,0.2889,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2013,0.1578,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2014,0.1563,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2015,0.1552,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2016,0.1541,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2017,0.1581,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2018,0.1612,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2019,0.1734,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2020,0.1740,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2021,0.1767,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2022,0.1934,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2023,0.2557,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Finland,2024,0.2465,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2013,0.1524,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2014,0.1585,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2015,0.1676,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2016,0.1685,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2017,0.1704,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2018,0.1748,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2019,0.1778,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2020,0.1893,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2021,0.1946,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2022,0.2092,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2023,0.2300,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,France,2024,0.2776,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Georgia,2018,0.0685,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Georgia,2019,0.0809,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Georgia,2020,0.0663,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Georgia,2021,0.0631,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Georgia,2023,0.0847,,
ESTAT:TEN00117(1.0),20/01/25 23:00:00,Annual,Electrical energy,Euro,Kilowatt-hour,Medium size households,Georgia,2024,0.0710,,
