Entity,Code,Year,Electricity from wind - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Other renewables including bioenergy - TWh
Antigua and Barbuda,ATG,2004,0,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0,0
Antigua and Barbuda,ATG,2010,0,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0.01,0
Antigua and Barbuda,ATG,2016,0,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0.01,0
Antigua and Barbuda,ATG,2018,0,0,0.01,0
Antigua and Barbuda,ATG,2019,0,0,0.01,0
Antigua and Barbuda,ATG,2020,0,0,0.02,0
Antigua and Barbuda,ATG,2021,0,0,0.02,0
Antigua and Barbuda,ATG,2022,0,0,0.02,0
Argentina,ARG,1990,0,17.713175,0,0.13302182
Argentina,ARG,1991,0,15.869253,0,0.1310081
Argentina,ARG,1992,0,19.16509,0,0.12998593
Argentina,ARG,1993,0,23.768307,0,0.09599508
Argentina,ARG,1994,0,27.286676,0,0.099004395
Argentina,ARG,1995,0,26.503681,0,0.119016126
Argentina,ARG,1996,0.009618,22.471685,0,0.22302064
Argentina,ARG,1997,0.014592,27.924665,0,0.17875852
Argentina,ARG,1998,0.032541,26.475504,0.000017,0.20689325
Argentina,ARG,1999,0.034781,21.396791,0.000026,0.26199996
Argentina,ARG,2000,0.03,28.58,0,0.3860283
Argentina,ARG,2001,0.05,36.58,0,0.36299825
Argentina,ARG,2002,0.07,35.78,0,0.5299802
Argentina,ARG,2003,0.08,33.8,0,0.88059855
Argentina,ARG,2004,0.07,30.46,0,0.86751235
Argentina,ARG,2005,0.07,34.22,0,0.9164998
Argentina,ARG,2006,0.07,38.02,0,1.046309
Argentina,ARG,2007,0.06,31.22,0,1.0708514
Argentina,ARG,2008,0.04,31.2,0,1.2059801
Argentina,ARG,2009,0.04,34.62,0,1.1889358
Argentina,ARG,2010,0.03,33.36,0,1.3773632
Argentina,ARG,2011,0.03,31.19,0,1.3895167
Argentina,ARG,2012,0.37,29.16,0.01,1.4531035
Argentina,ARG,2013,0.45,32.77,0.02,1.5269085
Argentina,ARG,2014,0.62,32.42,0.02,1.482826
Argentina,ARG,2015,0.59,32.34,0.01,1.4873712
Argentina,ARG,2016,0.55,29.75,0.01,1.17702
Argentina,ARG,2017,0.61,31.59,0.02,1.4616984
Argentina,ARG,2018,1.41,32.28,0.11,1.4172236
Argentina,ARG,2019,5,27.5,0.8,1.4756514
Argentina,ARG,2020,9.41,23.67,1.34,2.1995268
Argentina,ARG,2021,12.94,19.65,2.2,2.2536683
Argentina,ARG,2022,14.16,23.89,2.94,2.3528001
Argentina,ARG,2023,14.49,33.17,3.25,2.275717
Argentina,ARG,1965,,1.2251163,,0
Argentina,ARG,1966,,1.2409302,,0
Argentina,ARG,1967,,1.2706977,,0
Argentina,ARG,1968,,1.4976745,,0
Argentina,ARG,1969,,1.3432558,,0
Argentina,ARG,1970,,1.5571272,,0.05624185
Argentina,ARG,1971,,1.5461483,,0.05899074
Argentina,ARG,1972,,1.5026463,,0.07602739
Argentina,ARG,1973,,2.9974296,,0.05997025
Argentina,ARG,1974,,4.994663,,0.06100323
Argentina,ARG,1975,,5.1947746,,0.063990325
Argentina,ARG,1976,,5.014902,,0.060962547
Argentina,ARG,1977,,5.7667804,,0.064003065
Argentina,ARG,1978,,7.7466183,,0.06397281
Argentina,ARG,1979,,10.656913,,0.09498376
Argentina,ARG,1980,,15.140881,,0.09901763
Argentina,ARG,1981,,14.684794,,0.08701801
Argentina,ARG,1982,,17.592196,,0.1149734
Argentina,ARG,1983,,18.41851,,0.15497561
Argentina,ARG,1984,,19.877867,,0.11498845
Argentina,ARG,1985,,20.653124,,0.12000641
Argentina,ARG,1986,,21.030247,,0.123990245
Argentina,ARG,1987,,21.912518,,0.10598629
Argentina,ARG,1988,,15.259144,,0.12296129
Argentina,ARG,1989,,13.187393,,0.10600155
Armenia,ARM,2000,0,1.25,0,0
Armenia,ARM,2001,0,0.96,0,0
Armenia,ARM,2002,0,1.64,0,0
Armenia,ARM,2003,0,1.96,0,0
Armenia,ARM,2004,0,1.98,0,0
Armenia,ARM,2005,0,1.75,0,0
Armenia,ARM,2006,0,1.81,0,0
Armenia,ARM,2007,0,1.83,0,0
Armenia,ARM,2008,0,1.78,0,0
Armenia,ARM,2009,0,2,0,0
Armenia,ARM,2010,0.01,2.53,0,0
Armenia,ARM,2011,0,2.46,0,0
Armenia,ARM,2012,0,2.3,0,0
Armenia,ARM,2013,0,2.15,0,0
Armenia,ARM,2014,0,1.97,0,0
Armenia,ARM,2015,0,2.18,0,0
Armenia,ARM,2016,0,2.33,0,0
Armenia,ARM,2017,0,2.25,0,0
Armenia,ARM,2018,0,2.29,0.02,0
Armenia,ARM,2019,0,2.35,0.06,0
Armenia,ARM,2020,0,1.78,0.14,0
Armenia,ARM,2021,0,2.2,0.29,0
Armenia,ARM,2022,0,2,0.33,0
Aruba,ABW,2000,0,0,0,0
Aruba,ABW,2001,0,0,0,0
Aruba,ABW,2002,0,0,0,0
Aruba,ABW,2003,0,0,0,0
Aruba,ABW,2004,0,0,0,0
Aruba,ABW,2005,0,0,0,0
Aruba,ABW,2006,0,0,0,0
Aruba,ABW,2007,0,0,0,0
Aruba,ABW,2008,0,0,0,0
Aruba,ABW,2009,0.03,0,0,0
Aruba,ABW,2010,0.11,0,0,0
Aruba,ABW,2011,0.11,0,0,0
Aruba,ABW,2012,0.14,0,0,0
Aruba,ABW,2013,0.15,0,0,0
Aruba,ABW,2014,0.15,0,0.01,0
Aruba,ABW,2015,0.17,0,0.01,0
Aruba,ABW,2016,0.13,0,0.01,0
Aruba,ABW,2017,0.13,0,0.01,0
Aruba,ABW,2018,0.14,0,0.01,0
Aruba,ABW,2019,0.14,0,0.01,0
Aruba,ABW,2020,0.14,0,0.01,0
Aruba,ABW,2021,0.14,0,0.01,0
Aruba,ABW,2022,0.14,0,0.01,0
Asia,,1965,0,142.90587,0,0.1
Asia,,1966,0,149.04556,0,0.122
Asia,,1967,0,139.2507,0,0.173
Asia,,1968,0,154.78128,0,0.179
Asia,,1969,0,160.68423,0,0.178
Asia,,1970,0,164.48134,0,0.40870398
Asia,,1971,0,179.92075,0,0.39761102
Asia,,1972,0,186.07146,0,0.42359102
Asia,,1973,0,172.98293,0,0.450998
Asia,,1974,0,197.01353,0,0.514547
Asia,,1975,0,212.23686,0,0.598507
Asia,,1976,0,218.30035,0,0.528553
Asia,,1977,0,214.44467,0,0.752774
Asia,,1978,0,225.85852,0,0.967644
Asia,,1979,0,244.19711,0,1.881672
Asia,,1980,0,261.64688,0,3.27229
Asia,,1981,0,279.014,0,5.158717
Asia,,1982,0,276.3654,0,13.786909
Asia,,1983,0,289.0298,0,15.969758
Asia,,1984,0,289.70355,0,17.504143
Asia,,1985,0,343.2243,0,18.657616
Asia,,1986,0,345.8456,0,19.513792
Asia,,1987,0,358.31586,0,19.845085
Asia,,1988,0,411.7108,0,21.403158
Asia,,1989,0,421.20438,0,23.120253
Asia,,1990,0.033323232,444.1334,0.004,18.888405
Asia,,1991,0.12300091,449.0279,0.004,19.281645
Asia,,1992,0.22078313,452.2898,0.015500001,19.539099
Asia,,1993,0.3098508,502.6904,0.028500002,19.352427
Asia,,1994,0.578078,498.7056,0.036,22.948118
Asia,,1995,1.1145912,538.362,0.049510103,27.582012
Asia,,1996,0.9768788,534.7571,0.0725606,28.024805
Asia,,1997,1.1958565,532.8737,0.116365455,31.625063
Asia,,1998,1.4579804,564.6518,0.16731885,33.70797
Asia,,1999,2.029756,550.01306,0.24566661,36.991817
Asia,,2000,2.37,564.26,0.38,44.550003
Asia,,2001,3.1799998,609.76,0.55,45.28
Asia,,2002,3.4599998,634.35,0.76,46.97
Asia,,2003,4.5699997,661.85,1.04,49.840004
Asia,,2004,8.15,772.88,1.38,52.56
Asia,,2005,10.23,810.7,1.75,59.77
Asia,,2006,16.02,888.15,2.19,63.42
Asia,,2007,21.29,927.4,2.62,70.92
Asia,,2008,32.57,1057.9701,3.1599998,79.33
Asia,,2009,50.61,1027.77,4.11,87.59
Asia,,2010,77.909996,1188.41,5.85,98.63
Asia,,2011,110.04,1195.64,10.299999,105.78999
Asia,,2012,143.98001,1374.1799,15.5199995,114.89
Asia,,2013,185.15999,1461.63,29.17,127.92
Asia,,2014,211.45999,1598.0999,59.28,146.17
Asia,,2015,241.04999,1666.19,91.23,169.54001
Asia,,2016,312.65,1725.4701,138.09999,171.59001
Asia,,2017,391.47,1769.8201,217.58,199.64
Asia,,2018,466.09998,1811.7001,310.09998,227.35
Asia,,2019,513.94995,1936.56,392.28,256.66
Asia,,2020,578.32,1981.13,469.26,286.53
Asia,,2021,785.43994,1949.58,592.37,330.37
Asia,,2022,905.64,1989.02,741.39,366.03
Asia (Ember),,2000,2.3,525.25,0.38,44.27
Asia (Ember),,2001,3.08,577.22,0.55,44.98
Asia (Ember),,2002,3.37,588.95,0.76,46.71
Asia (Ember),,2003,4.47,612.32,1.04,49.629997
Asia (Ember),,2004,8.03,709.01,1.38,52.35
Asia (Ember),,2005,10.09,745.24,1.75,59.62
Asia (Ember),,2006,15.75,814.61,2.19,63.229996
Asia (Ember),,2007,20.78,863.72,2.62,70.63
Asia (Ember),,2008,31.51,1010.46,3.16,78.98
Asia (Ember),,2009,48.87,979.29,4.08,86.82
Asia (Ember),,2010,74.81,1118.08,5.76,97.520004
Asia (Ember),,2011,105.1,1125.34,10.08,104.630005
Asia (Ember),,2012,137.83,1295.38,15.1,113.25
Asia (Ember),,2013,177.36,1378.49,28.5,125.5
Asia (Ember),,2014,202.71,1537.43,57.92,142.48
Asia (Ember),,2015,229.11,1582.29,89.29,164.63
Asia (Ember),,2016,296.51,1638.1,134.39,164.86
Asia (Ember),,2017,372.58,1690.99,210.95,191.23
Asia (Ember),,2018,444.55,1739.18,296.97,217.74
Asia (Ember),,2019,490.47,1807.36,372.25,244.83
Asia (Ember),,2020,550.95,1874.07,444.13,272.66998
Asia (Ember),,2021,751.46,1874.44,561.14,313.88998
Asia (Ember),,2022,867.86,1910.86,705.36,347.96
Asia (Ember),,2023,1009.38,1798.5,894.57,367.82
Asia Pacific (EI),,1965,0,156.08955,0,1.644
Asia Pacific (EI),,1966,0,162.31183,0,1.643
Asia Pacific (EI),,1967,0,152.86674,0,1.424
Asia Pacific (EI),,1968,0,168.24911,0,1.577
Asia Pacific (EI),,1969,0,174.1638,0,1.608
Asia Pacific (EI),,1970,0,180.71,0,1.776704
Asia Pacific (EI),,1971,0,199.45708,0,1.754611
Asia Pacific (EI),,1972,0,205.11601,0,1.785591
Asia Pacific (EI),,1973,0,194.01163,0,1.834998
Asia Pacific (EI),,1974,0,217.9046,0,2.8156047
Asia Pacific (EI),,1975,0,232.44424,0,2.9736698
Asia Pacific (EI),,1976,0,233.25337,0,2.9064
Asia Pacific (EI),,1977,0,227.03831,0,2.941779
Asia Pacific (EI),,1978,0,237.0464,0,3.2368069
Asia Pacific (EI),,1979,0,256.98187,0,4.032256
Asia Pacific (EI),,1980,0,273.4472,0,5.492769
Asia Pacific (EI),,1981,0,289.72968,0,7.3913007
Asia Pacific (EI),,1982,0,282.66718,0,16.27123
Asia Pacific (EI),,1983,0,299.34137,0,18.387142
Asia Pacific (EI),,1984,0,299.4067,0,20.061474
Asia Pacific (EI),,1985,0,320.0436,0,21.117823
Asia Pacific (EI),,1986,0,328.1671,0,22.013226
Asia Pacific (EI),,1987,0,326.8953,0,22.335085
Asia Pacific (EI),,1988,0,361.78326,0,24.15304
Asia Pacific (EI),,1989,0,388.04254,0,26.445786
Asia Pacific (EI),,1990,0.032323234,399.28433,0.004,22.520748
Asia Pacific (EI),,1991,0.12200091,410.53708,0.00945,23.003275
Asia Pacific (EI),,1992,0.22047403,401.5394,0.0276,23.161722
